Contenu,Titre de la vidéo,Heure de publication de la vidéo,Durée,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Ont continué de regarder (%),Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
Total,,,,50.05,0:06:22,85.02,315836639,33573127.3133,2221969,3416569458,6.36
MaERVzdxaZQ,حفرة كتوصّل لعالم آخر,"Aug 23, 2025",1161,41.03,0:07:56,100,1103205,145961.1178,7035,12261285,6.4
M-nx5k2w2xc,دخلت تجربة بـ 5000 دولار… و لقيت راسي محبوس فالجحيم,"Nov 21, 2025",1226,48.15,0:09:50,100,894225,146629.0354,4319,12975300,4.75
uS94ASa2FvE,الرحلة الملعونة (الجزء الثاني) : الريح طير لينا الخيمة,"Jun 2, 2022",806,59.03,0:08:03,100,1201203,161416.5389,2291,7457882,7.41
75xxBnTy544,FAWDA 01 - (ft Kawtar Bamo & Milfaya),"Aug 10, 2025",1988,35.36,0:11:43,100,1178754,230196.5937,8379,15618558,5.37
Ca-RAevS4GI,ميمكنش مضحكش #3 : صيفط لينا شي س... باش نديباناو,"Dec 11, 2020",568,55.24,0:05:13,100,945624,82423.2882,8767,8970287,7.18
t1FDtfzo0rk,باراكا من التنمر,"Feb 6, 2021",483,50.88,0:04:05,100,537061,36664.2313,2274,4751987,7.78
NdsGnmdlKoA,ها علاش مكنحملش اللغة الفرنسية🤣,"Sep 10, 2022",683,40.41,0:04:35,100,1697136,130104.0195,9736,18345301,5.77
fVmTzouMv_s,الحلقة الأخيرة : الحقيقة 💀,"Jan 30, 2026",3707,31.8,0:19:38,100,479674,157075.8316,1115,3729236,8.03
 -m-frCciswQ,CYBER F 2009 - PART 2 |  MSN يامات,"Apr 8, 2021",659,56.78,0:06:14,100,647477,67303.803,2776,6403290,6.64
jNmYcM785co,الخدمة ديالي هي نتفرج فالناس كيموتو,"Jul 16, 2025",1146,50.23,0:09:35,100,1059564,169424.7688,6816,13880278,5.2
wx_khUJG810,لَائِحة لقِيتْهَا مْكتُوبَة بخَط يدِي و ما عَاقْلش علِيهَا,"Sep 26, 2025",1308,43.3,0:09:26,100,719746,113238.2474,2091,7013097,7.09
y6U7QKzQdHU,ميمكنش مضحكش #30 : فاش كتفكر بالعزيزة الغالية ديالك 😂😂,"Mar 15, 2023",643,58.31,0:06:18,100,377082,39639.6087,666,3003351,8.66
Yy3iXsAIink,!! 😂😂 ميمكنش مضحكش #26 : فاش كضرب صبع رجليك الصغير مع الأرض,"Dec 12, 2022",618,62.83,0:06:28,100,584526,63041.2254,2651,5860246,6.92
CqyMOABDI_g,L3GEZ.exe,"Mar 2, 2020",423,56.82,0:04:00,100,757912,50596.8381,2663,6140385,8.9
QbJUgqD7G5Q,عمي ... ولكن عمره ما كان موجود,"Jun 21, 2025",645,57.96,0:06:13,100,719083,74673.1623,3077,8610532,5.99
TFW1X_kEiXs,SANDWICH D LGER3A !! WTF,"Jan 5, 2021",482,54.48,0:04:22,100,478806,34923.2578,1385,4563351,6.8
EHYYSK93aHI,أَغرب طرق العِلاَج القديمة 😂 (الجزء الثاني),"Jun 24, 2024",855,47.26,0:06:44,100,430101,48279.0145,1467,3712752,8.18
SCG50N21tc4,فاش كدخل فيسبوك أول مرة ، الله يشافي لقلووووووب,"Aug 14, 2020",385,61.57,0:03:57,100,431504,28412.0486,2059,3895920,7.4
eT6XlQX3D4c,بيمو فتمازيغت 🥸,"Dec 20, 2023",1435,42.42,0:10:08,100,793233,134129.5238,2869,9579815,5.04
AL_UU3klRwA,DAY 1 IN JAPAN 🇯🇵 : تحقق الحلم الحمدلله,"Feb 4, 2024",1166,46.05,0:08:56,100,1075473,160420.7001,6014,12825373,5.65
zt7ord1BTsM,😘تعلم كيف تحصل على حبيبة مع ملك الغَمَزَات,"May 28, 2023",471,45.88,0:03:40,100,354334,21722.1713,447,3352027,7.15
1GF1HIhbTG0,THAILAND 🇹🇭 #2 : مشينا شفنا أكبر تمثال بودا (من الذهب) في العالم,"Oct 18, 2022",619,59.91,0:06:10,100,544592,56100.9111,1347,6017254,6.22
S4YFGyUZuGU,هَاد لبلاَن كَتْعيشُو كُل نهَار,"Feb 1, 2026",896,47.2,0:07:02,100,353076,41473.9769,868,3364852,7.35
bD3JTRUXugU,STORY TIME / ...أنا مريض ب,"Mar 2, 2021",482,48.93,0:03:55,100,559766,36669.7518,1333,5241893,7.34
mhjSaWDd1N8,شْرِيت دَار كَان سَاكن فِيهَا سحّار,"Aug 14, 2025",1597,43.01,0:11:26,100,1083750,206756.741,6156,13966590,5.21
WCwKxCuWfGE,"TIKTOK , تحديات الأكل ، فقط في المغرب","Mar 7, 2021",734,45.03,0:05:30,100,1667248,153080.685,53788,19251608,6.52
5gIyLClLJuk,وَاش زْهَايمر ولا ذَكاءْ ؟,"Sep 17, 2023",932,46.12,0:07:13,100,635794,76539.215,1292,6421828,6.61
Ij8BiL2wfyc,القصة لي خربقات العالم,"Oct 31, 2023",1022,48.41,0:08:15,100,1128506,155295.0746,4668,12240835,6.24
ZcAmckEMXeU,العرس = الدجاج,"Jun 10, 2022",746,50.98,0:06:26,100,1693080,181682.9727,4209,17391104,6.65
o27C8KQ_hxg,حفرة كتوصّل لعالم آخر ( الجزء الثاني ),"Sep 3, 2025",1243,46.08,0:09:32,100,672292,106962.5108,3826,5810115,8.33
4Nvv-soqE_M,إختبار العقل,"May 18, 2022",534,57.78,0:05:17,100,739895,65328.9225,2792,7742862,6.89
nUz9gLt67bU,أغرب القوانين في العالم,"Oct 29, 2024",829,48.27,0:06:40,100,1069044,118818.5715,4029,12762155,6.01
OGLA7DDz0Uk,CHOOOOHRAAAA,"Mar 12, 2020",637,53.6,0:05:41,100,844630,80067.2838,3935,9096686,6.74
Z3L8eLmPM_A,الحلقة 2 : الرسائل رجعات… ولكن💀,"Dec 25, 2025",816,55.23,0:07:30,100,454889,56949.4152,892,3064539,9.94
XnBtbaSUWU0,الليلة اللي تبدلات فيها مراتي للأبد...,"Jun 7, 2025",1152,47.56,0:09:07,100,978609,148947.3856,5988,13629792,4.9
GKLO0CjRXmg,فاش كتمشي للبنك وكيندموك,"Sep 2, 2020",377,58.23,0:03:39,100,560856,34200.9539,1499,4865739,7.82
YdnXwTko1dI,SUNDAY GAMING #1 : A SHORT LIFE !,"Jan 26, 2020",606,51.57,0:05:12,100,448549,38939.0965,2879,4858095,6.88
HdTXCB4HnLc,تعليقاتكم : فاش كنت صغير كان كيسحابلي …😂😂,"Nov 23, 2023",980,49.86,0:08:08,100,1515976,205765.9946,10741,14333783,7.1
 -Y2Q97SKRM4,STORY TIME | ☀️🥲أول تسافيرة بوحدي,"Jun 4, 2024",1426,51.56,0:12:15,100,1255722,256462.0819,2943,12441837,5.48
7RJvtzzjXlI,NEW SETUP | روتيني اليومي 😂,"Nov 10, 2023",2120,38.3,0:13:32,100,1263810,285075.0254,10070,21099785,3.6
vycnCHRTFSE,STORY TIME | 😂😂 تسافيرة مع العائلة,"Jun 27, 2023",1139,42.92,0:08:11,100,1862150,254106.7539,8573,18750720,6.95
YV0u_1dzQEw,الحزقة المدمرة,"Aug 17, 2021",548,58.63,0:05:33,100,1280028,118549.9502,4258,15291662,5.79
AuW0tA7iT5w,FOOD.exe,"Nov 2, 2019",500,48.65,0:04:03,100,507716,34308.7647,3731,4150389,8.71
5vpdRnnWuIM,2  3AM MAJIT LMEGHRIB,"Jan 12, 2020",505,53.79,0:04:31,100,652898,49262.6538,3462,5922685,8
usN-aAHEuf0,STORY TIME | تسَافِيرة معَ العَائِلة,"Jul 13, 2025",1120,48.72,0:09:05,100,1010825,153205.9473,6505,12461409,5.13
RLS6vcHmt2U,THAILAND 🇹🇭 #4 : PHi PHI ISLANDS عمنا مع القرش في أجمل الجزر فالعالم 🦈🏝,"Oct 31, 2022",483,61.26,0:05:04,100,477452,40399.2473,743,5515170,5.88
OdUmYjUiNuw,الرياضيات لي مقراوناش,"Mar 4, 2025",1194,45.16,0:08:59,100,709272,106244.6066,1988,7916121,5.75
FRzKovUq5ao,STORY TIME | لحوايج الخايبين لي عشناهم فتايلاند,"Aug 11, 2023",1255,50.14,0:10:32,91.67,1512728,265729.7561,6839,15972110,5.99
qTxv9zGYKkY,الماكلة : المغرب VS اليابان,"Apr 8, 2023",878,43.32,0:06:20,88.89,1717194,181414.3411,12350,22978441,5.36
dnp4nxtnQwE,"Ajiw l twitch , nreactiw ela videos mjmo3in ❤️😂   ( bimo36 )","Oct 31, 2023",60,66.67,0:00:40,85.41,322612,3361.015,392,3192291,6.14
cnhAGvJJkfQ,قريت تعليقاتكم 😂,"Apr 27, 2023",646,56.58,0:06:06,83.33,1109284,113079.3458,4441,11382635,6.51
5cCZkHFwPPY,MEMES #4 : مضادات الكآبة 😞,"Dec 9, 2023",984,46.23,0:07:34,83.33,1090659,137826.7378,3575,9651377,7.52
WQ0yaYRSVQY,STORY TIME / فاش كنت صغييير,"Mar 1, 2021",577,53.14,0:05:06,83.33,1301493,110850.7881,5100,12355882,7.31
FsDscK3v0V8,STORY TIME | 😂😂 أَغرَب فَتْرة عشْتهَا فحْيَاتِي,"Nov 16, 2023",1598,46.67,0:12:25,80,1567368,324671.5365,4217,16207410,5.34
pPdj4VUoa48,أغرب الديانات عبر التاريخ,"Oct 16, 2024",1110,40.28,0:07:27,77.78,1116545,138658.5295,5967,14692391,5.44
7b1Ow4qHmEw,مُلوك الأناقة  : الجيل الذهبي 😂 😂,"Mar 26, 2024",640,55.55,0:05:55,77.78,651792,64373.3051,1470,6657156,6.78
NfTGmN8WimU,الأبراج الفلكية ( بُرج القُرَيْدِس🦞),"May 3, 2023",481,58.75,0:04:42,76.92,681960,53531.4422,1757,7378254,6.55
pGSknK9mcE0,أبشع أنواع العقوبات فالتاريخ ☠️,"Sep 4, 2023",877,51.09,0:07:30,76.92,1438610,180154.0155,12816,17325688,5.43
slnZhqxsXJY,الفقير VS الغني,"May 17, 2020",353,61.75,0:03:37,75,702477,42532.632,3965,7440280,6.97
l2d7WKJlOEw,أَغرب طرق العِلاَج القديمة 😂,"Sep 7, 2023",1106,47.44,0:08:47,75,1303273,190805.2468,7481,14191017,5.81
eYtO9qMfkHw,أنواع لعيالات فالصوگان 💁🏻‍♀️,"Aug 9, 2022",757,47.14,0:06:03,75,1233601,124693.16,2991,17090653,5.35
F4doTFbVLaU,جاوبت على الأسئلة ديالكم ، أشنو كندير فحياتي ؟,"Oct 5, 2020",486,55.15,0:04:28,75,680284,50649.4846,8074,5868060,7.86
mCSzwfHHZYg,MEMES #3 : 🔥تضحك🤣 = تفطر رمضان,"Mar 12, 2024",678,51.85,0:05:51,73.33,932534,91062.1596,2128,8070915,7.9
cNyGStM4T1w,😂✔تم تعذيب اللغة الفرنسية بنجاح,"Jan 12, 2023",716,48.35,0:05:49,72.73,1389462,134941.4389,6543,16010849,6.09
Zh_Z0s7QA4E,أَغرب 10 وَظائِف في العالم 🤑🤣,"Aug 3, 2023",1056,48.41,0:08:32,71.43,1521285,216480.3714,6511,16788565,5.84
LZiDl9GXSic,ذِكْرَيَاتْ الطّفُولَة❌ ، كَوارِث الطّفُولَة✅,"Feb 16, 2025",999,48.34,0:08:02,71.43,671466,90069.6608,1898,7454106,6.08
Y42x1RAcCRw,STORY TIME | نهار العائلة ديالي يسحابليهم غرقت فالبحر,"Jan 5, 2023",640,57.84,0:06:12,71.43,1219170,126247.99,3329,13805756,5.75
yNjg9ztsvI0,STORY TIME | 😂😂 عضني حنش,"Jan 9, 2024",1085,48.91,0:08:50,71.43,1429207,210666.8664,7655,18319941,5.41
cItfpMJuItg,كفاش تكون راجل ؟,"Sep 28, 2022",589,54.85,0:05:30,71.43,978470,89908.2706,2733,9983204,6.72
1r5QATpqUnQ,أَغْرب الِإختراعَات فِي اليَابَان 🎌😂,"Oct 12, 2023",1039,46.89,0:08:09,71.43,1160927,157867.9791,4931,11387212,6.86
MHOjO1_rQT8,The forbidden experiment | التّجربة المُحرمَة,"Jul 27, 2023",769,52.35,0:06:42,71.43,959488,107286.6907,4412,11102648,5.96
WTdh2CLu1ss,! ها شنو غيوقع إذا خطفوني,"May 3, 2021",361,58.18,0:03:30,70.59,796197,46450.6588,1762,7776209,7.25
Ibw1Xu2d0UA,5 مواقف حرجة عشتهم 🤦‍♂️,"Feb 20, 2023",806,51.79,0:06:59,70,1837924,214324.741,7305,20453809,6.16
5EUQEjmYJlA,ممنوع تهضر على الجزيرة الثانية... وإلا ☠,"Apr 27, 2025",1486,45.5,0:11:16,68.75,1555528,292177.2093,11757,18765026,5.16
hvBNhQJzk0g,قصتي مع DENTISTE,"Sep 9, 2024",523,56.64,0:04:56,68.75,550455,45294.8115,1228,5491339,7.16
bhajer45qgY,JOTIA TIME ( VLOG ) | ضربنا البياس المزيان من الجوطية,"Mar 25, 2022",715,54.38,0:06:28,66.67,1045697,112940.7123,3307,12093008,6
yt1828_DZdU,STORY TIME | تسَافِيرَة معَ العائِلة السّعِيدَة 🤣🤣🤣,"Jul 4, 2024",1462,47.23,0:11:30,66.67,1480332,283946.4326,5248,15822371,5.23
_3RC_BlZVXU,أول مرة غتسمع هاد المعلومة,"Nov 22, 2024",1015,42.93,0:07:15,66.67,628550,76069.8993,1678,5928789,7.42
tLvqBvwvWcs,STORY TIME | المشكل ديالي مع طواليط,"Jul 17, 2023",749,49.48,0:06:12,66.67,1049692,108488.0121,4063,10263460,6.91
LrjlM1KYqCQ,MUSCULATION ?,"Mar 19, 2020",663,56.11,0:06:11,66.67,723259,74734.798,3654,8604826,6.15
YGWL-Jsia6A,إمتى غدير دراري ؟ إمتى غنشوفوك بولادك ؟ إمتى .....,"Aug 16, 2023",873,46.82,0:06:52,66.67,771300,88402.3389,1835,7230506,7.48
AXvkvYERvFE,رَسمنَا بعضِياتنَا ، جَات كَتشْبه لِلرَّسمَة 🤣🤣,"Jul 23, 2024",987,45.25,0:07:26,66.67,755901,93766.7831,2814,9095430,5.94
NoeXJYoC93Q,شكون أنا ؟,"Mar 5, 2023",659,50.15,0:05:31,66.67,924814,85281.1735,2028,8973858,7.28
P134XFkD2bw,NATIONAL BIMO GRAPHIC | 20 معلومة مكتقبلهاش العقل,"May 12, 2023",655,55.81,0:06:15,66.67,882074,92097.5997,1850,10065523,6.05
JYqTp9QSVMo,قرينا انا و ختي التعليقات ديالكوم,"May 25, 2020",602,46.15,0:04:37,66.67,2393405,184725.0379,19063,28199772,6.38
6DtVVltRAck,بغيت بلاصتي بليز,"Aug 21, 2020",493,52.56,0:04:19,66.67,1012459,72867.9102,3050,8719481,8.12
H38gGDnW7Z0,الظَاهِرة لِي كَنشُوفُهَا بزَاف ف SOCIAL MEDIA,"Aug 8, 2024",953,41.33,0:06:33,66.67,600363,65678.8944,1715,6042789,6.85
UYh15hRZrPk,البنات كيقدرو يـ...,"Oct 25, 2022",509,55.39,0:04:47,66.67,1340398,106908.5207,5480,13718648,6.9
wAKFBuTq36o,إختراعات لن تغير حياتك 😂😂,"Jan 18, 2023",749,52.56,0:06:37,66.67,1302207,143958.9453,3718,13469239,6.69
uAfQgPfofLs,MOTIVATION ( ديَال لْعْبَار ) أول خطوة للنجاح 🤦‍♂️,"Sep 26, 2023",995,43.91,0:07:20,66.67,587360,71869.8436,983,5800473,6.77
plkDxJD1_1I,أَغرَب الأحْدَاث : مُسَابقةْ الحَزْقَة المُوسِيقِيَة 😂😂,"Nov 28, 2023",1122,48.37,0:09:02,66.67,1201639,181134.6772,5085,12049623,6.5
DbIqsUJF5pU,كيفاش تبان مأذب قدام الناس ؟,"Aug 5, 2021",493,51.27,0:04:25,66.67,712528,52554.9328,1409,6582877,7.55
D4UqwhPBl9c,جائزة أفضل سائق تذهب إلى...💁🏻‍♀️,"Oct 15, 2023",562,53.87,0:05:09,66.67,401731,34538.9876,723,4350448,6.4
dCyR8hnjse4,أسماء مَغرِبِية عمْرك سمعتِهم من قبل,"Apr 13, 2023",817,50.08,0:06:49,66.67,1037148,117881.6367,2267,11237138,6.11
KWUTEJIi7ak,STORY TIME,"May 30, 2020",604,50.7,0:05:06,66.67,1206331,102608.728,5949,12880415,6.74
fGEKiiJFUt4,فِيديُوهَات المُحِيط 😂😂 : 4# MEMES,"May 30, 2024",715,53.96,0:06:25,63.64,639014,68479.4652,1329,6127619,7.03
TFflMCsaixw,! رحلتي من ، طيحة عادية إلى خاصني ندير عملية,"Aug 24, 2021",615,55.82,0:05:43,62.5,940451,89688.3145,3788,11432937,5.83
xle_WfC_VOM,شريِتْ PC GAMER ، هَا بشْحَال تقَام عليَا.,"Aug 13, 2024",696,43.73,0:05:04,60,563514,47644.6285,5095,8266984,5.07
8LykqwaNBnc,5 قصص واقعية : كنفيق من النعاس كنلقا ... ؟,"Nov 22, 2022",678,49.17,0:05:36,60,1418558,132436.8171,9595,14932957,6.49
pz2zGR-Brfs,STORY TIME | (Sleep walking) كنتمشا و أنا ناعس,"Oct 5, 2021",481,59.26,0:04:45,59.57,1224992,96996.2964,4591,12164240,6.63
HsR9jsLAOHM,أَغربْ الطّرُق لِي ماتُو بِها النَّاس : جلست عليه💀,"Aug 21, 2024",933,45.63,0:07:05,57.14,1108941,131143.218,6558,13570947,5.76
lMd5TZ060nU,BELMEZ FACES | وجوه أشباح حقيقية ؟,"Dec 15, 2020",674,49.24,0:05:31,57.14,772842,71240.8481,2971,9788991,5.26
Q0vANrzet60,ندمت حيت مقريتش,"Feb 27, 2022",519,57.95,0:05:12,56.52,1015931,88083.5388,2802,9896022,6.97
VcwO2d54_mI,"قصة الطفل الصغير المفقود , Ryker webb 😨","Dec 28, 2023",608,57.05,0:05:46,56.25,878033,84604.0811,5039,9996535,6.19
jzu2DbzLNDc,STORY TIME | يامات 0/20 فالإعدادي,"Dec 25, 2021",768,54.02,0:06:54,56.1,2279693,262696.993,14948,31202370,5.02
T6IFNex4VYc,STORY TIME | المشكل ديالي مع الفرنسية (الجزء الثاني),"Oct 11, 2024",1020,46.98,0:07:59,55.56,671566,89396.8054,1338,6967242,6.45
v2pzesaKsQ4,STORY TIME | أَول مرّة نتكْرِيسا فحيَاتِي,"Aug 31, 2024",981,50.68,0:08:17,55.56,1088870,150383.2515,4394,11406613,6.13
HaSPIdPqKvI,النّيَة : تشِيزْ كِيكْ ، النّتيجَة : خْر...🤣🤣,"Mar 19, 2025",1082,43.53,0:07:50,54.55,672894,88029.9268,2529,10197887,4.62
6xvEWVDYZqI,أغرب أسماء الأكلات الجزائرية 😂,"Feb 14, 2023",440,56.04,0:04:09,54.55,879112,61043.1661,3176,9167310,6.92
Ty96VL79HgE,ولاد ختي بغاو يحيدولي عيني,"Aug 26, 2022",467,53.06,0:04:12,53.57,1309303,91853.7831,3884,12771753,7.07
HT3FOFr8M0s,المرأة : إنزعو مَلابسكم ومارِسو الفاحشة ، قِصّة أَغرب قاتِلة متسلسلة (MAGDALENA SOLIS),"Oct 1, 2023",769,56.39,0:07:16,53.33,751725,91241.458,1701,7504123,6.33
Ri5_lDZKbQI,بو صفير,"Jan 9, 2023",511,55.1,0:04:44,53.33,830911,65769.8518,1316,8039314,7.25
LTvyx2YzTxU,أغرب الأحلام لي كاملين كنحلموهم 🤣💤,"Apr 9, 2024",601,50.36,0:05:02,53.33,969223,81481.3253,3176,10236735,6.64
bFn9tC8THf8,أَمْجنن حَيوانْ,"Sep 27, 2024",836,49.09,0:06:50,53.33,706793,80573.3556,1984,7746011,6.53
kLq-trgV59k,SQUID GAME ( PERFECT SPOILER ) | لعبة الحبار,"Oct 9, 2021",616,47.25,0:04:51,52.08,758274,61304.375,2668,7229807,7.25
FxmSmCFq7y8,البحر فالمغرب,"May 10, 2022",500,58.46,0:05:03,51.52,938892,79194.3441,2666,7396402,8.64
olRK95t554M,لحوايج لي كديرهم المرأة ، و الراجل مكيقدرش !,"May 7, 2022",459,58.51,0:04:37,51.11,1143169,88222.6185,4128,10479314,7.46
2v-rUS2k0cY,CYBER F 2009 - PART 1,"Mar 9, 2021",481,57.42,0:04:36,50,799660,61344.9805,2512,8276577,6.8
eWxTEPD9w7M,DELA7A.exe,"Aug 26, 2020",580,52.2,0:05:02,50,1069490,89944.8307,3098,8399693,9.38
q9IbK89OIHA,البرد,"Jan 15, 2025",984,46.51,0:07:37,50,670681,85253.3911,2177,7222857,6.41
CqGuFHh0bv0,عزيزي دافيد (الحلقة 3) : هادشي كامل مكانش حلم ؟,"Apr 1, 2023",595,64.75,0:06:27,50,436269,46945.8155,631,3631263,7.84
WNSGc-I7YFM,المعانات ديالي مع SECURITE,"Oct 9, 2023",697,54.13,0:06:20,50,663911,70205.372,1149,6261460,7.38
3udOM4HzXNk,GRAND TAXI / طاكسي كبير,"Feb 12, 2020",505,57.87,0:04:52,50,834469,67737.599,4498,8374728,7.35
FyL7ZyXKgB4,OMEGLE #2 عايشين غاية ، واخا كيقمعونا الساطات,"Nov 6, 2020",573,55.19,0:05:16,50,794561,69800.4177,6289,8310519,6.91
rvSZHeYTwVg,مكنحملش ...😡😡😡,"Jul 6, 2023",639,53.7,0:05:44,50,782402,74915.4737,1886,7145510,7.53
2PkWSsFAE3c,STORY TIME / عندي مشكل مع لمشاش,"Nov 21, 2020",517,55.85,0:04:48,50,798703,64056.6717,1825,6673477,8.18
iVx6ETWe6kM,قصص واقعية : خلل في المصفوفة ، حنا عايشين فعالم إفتراضي؟,"Jul 12, 2021",505,53.57,0:04:30,50,613019,46064.9336,1825,6908005,6.16
ropImfJYAm8,STORY TIME | أغرب طريقة تقدر تفارق بها مع شي بنت,"Jan 26, 2023",671,56.49,0:06:23,50,901536,96114.6168,1984,9756182,6.34
wburgJal5sk,Morocco vs المغرب IRL 😭💰(على أرض الواقع),"Jun 5, 2025",1975,34.77,0:11:26,50,1413721,269687.9011,8514,18815354,5.16
RYmcfnGSDsI,THAILAND 🇹🇭 #1 : أول مرة غنركب فالطيارة ( 17 لساعة فالسماء ),"Oct 6, 2022",816,51.6,0:07:01,50,861377,100743.9423,3238,10923791,5.73
FHfQX4CzY2g,MEMES #3 : الفيديوهات لي مخصناش نضحكو عليهم 🤣,"Sep 30, 2023",561,58.06,0:05:28,50,1137418,103804.1553,4583,10297570,7.38
HCRZ-VpDCAg,#TheSunVanished الحلقة 1 : قصة الشمس المختفية ، أشنو غيوقع لعمر ؟,"Nov 5, 2022",619,50.6,0:05:18,50,1045802,92661.0006,4884,9164916,8.03
xe0_5ohoOV0,كدير هادشي = نتا عبقري,"Jul 24, 2022",686,45.73,0:05:21,50,597415,53357.4155,1332,5900757,7.08
nXRaQLcvo5Q,كملنا عام ديال زواج + نصائح غير مفيدة على الزواج,"Feb 6, 2023",602,51.68,0:05:11,50,724145,62582.2148,1983,7789037,6.75
zHxbm7MZXVE,تناسخ الأرواح : قصة البنت لي رجعات من الموت ولكن …,"Mar 8, 2024",838,55.46,0:07:44,50,835728,107885.5566,3735,10276599,5.66
dXYiHF8tokE,MY DAD | الأب ديالي,"Aug 22, 2021",560,59.82,0:05:34,50,1232016,114641.5413,3152,12049685,6.82
eyQbYiGcf0o,مكتشجعوش الشباب يتزوج,"Mar 21, 2021",754,50.41,0:06:20,50,857243,90514.5457,3151,9600396,6.11
m3Eo2SXl9ok,مميزات الجسم البشري : كيكبرلهم لقرون ؟,"Jul 5, 2023",676,52.8,0:05:58,50,763637,76011.1769,3016,9324277,6.2
nl_jRVjkmjM,TOP 10 : أغرب الطرق لي ماتو بها الناس,"Sep 19, 2022",766,51.92,0:06:41,50,1812502,202240.483,13423,24967558,5.01
zhSD07XXEPQ,STORY TIME |كنحط تصاوري باش يجي عندي تيتيز ، كيجيو عندي ال…. 🥲,"Aug 26, 2022",466,63.7,0:05:04,50,525169,44419.9919,703,5472531,6.67
PHoX-F_tSm0,قصة اعتناقي للإسلام,"May 9, 2020",481,59.94,0:04:48,50,716422,57341.7142,2895,7337690,6.75
hRfJFKaLmWg,FACEBOOK MARKET PLACE و المُعَانَات,"Mar 10, 2025",882,42.56,0:06:15,50,728023,75914.6849,1899,10711568,4.82
vqzf1uNBM90,STORY TIME / قصتي مع الجن,"Jun 25, 2020",420,54.32,0:03:48,50,802723,50868.2484,3593,7074084,8.12
EoasLGwQA-0,الطريقة الصحيحة كفاش كتلبس لكمامة,"Jun 27, 2020",450,55.8,0:04:11,50,603851,42118.3347,4064,5619485,7.55
SrfNOcdMWgU,#TheSunVanished   الحلقة 3 : الحقيقة,"Nov 29, 2022",713,49.69,0:05:56,50,819924,81308.4647,2972,5521604,10.29
N0a40uZArkU,إعلان هام : ختي غتسقط فلباك 🚨🚨🚨🚨,"Jun 19, 2023",852,41.79,0:05:56,50,2199269,217528.3251,12907,27862410,5.99
EsedIh3RvA4,أغرب الصدف لي تقدر تشوف فحياتك 💀,"Apr 3, 2024",488,62.25,0:05:03,48,662693,55923.2109,1557,7747748,6.04
GTwpHIZVGUY,الثّروة ديَالها $ 5.000.000 و كَتعِيش حَياة الفُقراء,"Jul 8, 2024",766,53.64,0:06:50,47.62,886840,101216.742,2754,11279143,5.42
SZqnYmb_Le0,أغرب و أظلم قصتين فالتاريخ : التوأم الصامت و عصابة الريبر,"Mar 31, 2025",582,57.84,0:05:36,47.62,658581,61582.8857,2829,7262418,6.26
Rw43q2IDFrc,تعليقاتكم : تعرات عليا بنت خالتي و مديتهاش فيها ، هو 🫃🏻,"Sep 13, 2024",799,46.14,0:06:08,47.06,786975,80597.9052,2718,7792897,7.2
QqUvwdIisrI,تعليقاتكم : تفسير الأحلام مع المتابعين 😂😂,"Apr 16, 2024",515,58.55,0:05:01,47.06,948153,79415.9361,4155,10900200,6.08
uyNDXYf0tQI,هدي ماشي قصة رعب… هدي لعنة الزمن,"May 15, 2025",1042,47.33,0:08:13,46.97,1293106,177128.021,8727,16050558,5.44
2r6HuOyhzC0,LEVEL DEVIL | تلعبها ونتا صائم ، تفطر 😂,"Mar 19, 2024",750,48.76,0:06:05,46.15,933786,94859.3634,3581,12749901,5.09
rT7MabSqDCE,RANDOM VIDEOS | فيديوهات عشوائية,"Oct 9, 2023",630,54.68,0:05:47,46.15,896945,86505.98,1605,8829332,6.86
HRv7VclzOcU,STORY TIME | (Addictive behavior) المُعَانَات ديَالِي معَ السّلُوكْ الِإدْمانِي,"Aug 1, 2024",723,51.56,0:06:12,45.45,634482,65694.4398,1651,6536854,6.68
1RE_fiB_shk,الفلسفة ؟,"Dec 12, 2021",481,51.97,0:04:09,45,1439146,99925.5317,10111,16721659,6.07
Ex1fJbauKgc,أغرب أنواع الفوبيا الموثقة 🤣,"Aug 18, 2023",950,49.58,0:07:54,42.86,1132302,149089.9208,3262,11617193,6.41
KiekeRaCiww,كون كنت البطل ديال شي فلم رعب ؟,"Dec 7, 2024",1344,37.85,0:08:28,42.86,808145,114205.645,2779,8365063,6.61
CjGDO5QoIvw,جاوبناكم أنا و مراتي,"Mar 11, 2022",492,57.27,0:04:41,42.86,1820225,142464.5878,14112,17876766,7.38
M6pk-F1mUT8,شرِينَا أَغربْ المُنتجَات اليَابانِية 🤣🤣,"Feb 19, 2024",515,60.06,0:05:09,42.86,728671,62602.9528,2391,7681584,6.76
7hOJThrWlj0,الفرقة لي كتلعب معاها كوورة ⚽️,"Jun 15, 2024",885,40.16,0:05:55,42.86,551193,54411.5918,1335,5331256,7.13
1KAZr3B4M84,تعليقاتكم : أغرب سبب علاش تفارقتو ؟ 😂😂,"Dec 15, 2023",975,45.74,0:07:25,42.86,1684336,208656.0648,16628,23404352,5.05
9ssvkxe45I4,L'internat / الحي الجامعي في المغرب,"Jan 22, 2020",661,49.81,0:05:29,42.42,1885796,172463.6341,19099,23752033,5.6
CuI9OLIp8Xk,حمام تركي VS حمام بلدي,"Jan 18, 2025",959,49.04,0:07:50,42.01,792876,103586.0919,2407,9097381,6.21
