Contenu,Titre de la vidéo,Heure de publication de la vidéo,Durée,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Ont continué de regarder (%),Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
Pw3xk_Q26GA,آش هاد الأسئلة ؟؟؟؟؟؟؟؟؟؟,"Feb 7, 2020",614,53.4,0:05:27,,759837,69157.8081,3655,6544222,8.41
FsG2SOHWL8I,سطاج فالبنك,"Jun 7, 2017",518,,,,0,0,0,22,0
nPP1VMVWoD8,MOBILE STREAM FROM ANDROID ?,"Oct 20, 2021",301,42.55,0:02:08,,126543,4501.5131,377,2081742,3.8
OEjef7Xic3w,آخر مكاين فالطاكوس ، طاكوس لازانيا فقط في المغرب !,"Sep 11, 2021",622,54.61,0:05:39,,677491,63925.5434,3062,6497298,7.28
SOF4ANMtsQg,"أحسن ASMR تقدر تشوفو فحياتك 😂🤦‍♂️, صوت الشعرية يابسة",,690,2.24,0:00:15,,2,0.0086,0,0,
kbA17slK1XM,OUSTAD.exe,"Dec 21, 2019",453,60.03,0:04:31,,815045,61564.2457,3659,7974410,7.53
ri0KO0U0mWw,BIMO JAWBKOM (Q & A) |  شكرا لكم,"Jan 11, 2017",532,,,,0,0,0,1,0
9HPJA6usRLs,Comment dessiner comme un professionnel et sans talent,"Jun 14, 2016",111,18.41,0:00:20,,1,0.0057,0,1,0
E2Tbo-KUcJo,ميمكنش مضحكش #16 : فاش كتمشي دير مصاج ب 10 دراهم,"Oct 3, 2021",629,59.75,0:06:15,,868144,90630.0506,3107,8219816,7.19
1WHmvDF_Jac,أشنو غيقدر يوقع إذا ... ؟,"Aug 7, 2022",489,63.25,0:05:09,,209580,18006.6131,533,1673293,8.52
yVvtXSDzOl4,CHAKHDA D7OKAT,"Oct 26, 2020",614,58.38,0:05:58,,508475,50628.8402,3562,3631462,9.29
JfPCVn_cYlc,الرحلة الملعونة (الجزء الأول) : أكفس صيف دوزتو فحياتي,"Jun 2, 2022",833,53.76,0:07:35,,1579007,199610.8111,4347,16572605,6.26
nvJ7rknt-7M,!! 😂😂 ميمكنش مضحكش #27 : بغا يشري لصاحبتو صباط كادو,"Dec 19, 2022",588,62.38,0:06:11,,523880,54097.8235,1575,4424620,8.45
nRSt3pRkaJs,OMEGLE طلعتها مزيان على تيتيز ف,"Sep 30, 2020",535,53.95,0:04:48,,893349,71627.9579,9249,9164093,6.86
b6S_WktCNas,EMILY WANT TO PLAY | أكبر خواف فالمغرب,"Dec 3, 2016",546,40.01,0:03:38,,1,0.0607,0,2,0
mdDZiCaYJiI,أسئلة ثقافية #2 : 200 غرام ديال الصبون شحال فيها من .... ؟,"Oct 30, 2021",525,50.41,0:04:24,,226370,16642.6342,10,2309351,4.96
snhgaL-jCZ0,!! فيلم قصير قمة في الإبداع,"Jan 12, 2021",586,49.02,0:04:47,,577168,46053.5515,2228,5042100,7.73
zU9H1-g_8qY,BIMO JAWBKOM (Q & A) | واش أنور فرحات خوك ؟,"Oct 23, 2016",717,13.56,0:01:37,,1,0.027,0,1,0
